2013-02-13 22:26:44 status unpacked libpam-modules-bin 1.1.3-7ubuntu2
2013-02-13 22:26:44 install libpam-runtime <none> 1.1.3-7ubuntu2
2013-02-13 22:26:44 status half-installed libpam-runtime 1.1.3-7ubuntu2
2013-02-13 22:26:44 status unpacked libpam-runtime 1.1.3-7ubuntu2
2013-02-13 22:26:44 status unpacked libpam-runtime 1.1.3-7ubuntu2
2013-02-13 22:26:44 install libpam0g <none> 1.1.3-7ubuntu2
2013-02-13 22:26:44 status half-installed libpam0g 1.1.3-7ubuntu2
2013-02-13 22:26:44 status unpacked libpam0g 1.1.3-7ubuntu2
2013-02-13 22:26:44 status unpacked libpam0g 1.1.3-7ubuntu2
2013-02-13 22:26:44 install libpciaccess0 <none> 0.12.902-1
2013-02-13 22:26:44 status half-installed libpciaccess0 0.12.902-1
2013-02-13 22:26:44 status unpacked libpciaccess0 0.12.902-1
2013-02-13 22:26:44 status unpacked libpciaccess0 0.12.902-1
2013-02-13 22:26:45 install libpcre3 <none> 8.12-4
2013-02-13 22:26:45 status half-installed libpcre3 8.12-4
2013-02-13 22:26:45 status unpacked libpcre3 8.12-4
2013-02-13 22:26:45 status unpacked libpcre3 8.12-4
2013-02-13 22:26:45 install libplymouth2 <none> 0.8.2-2ubuntu30
2013-02-13 22:26:45 status half-installed libplymouth2 0.8.2-2ubuntu30
2013-02-13 22:26:45 status unpacked libplymouth2 0.8.2-2ubuntu30
2013-02-13 22:26:45 status unpacked libplymouth2 0.8.2-2ubuntu30
2013-02-13 22:26:45 install libpng12-0 <none> 1.2.46-3ubuntu4
2013-02-13 22:26:45 status half-installed libpng12-0 1.2.46-3ubuntu4
2013-02-13 22:26:45 status unpacked libpng12-0 1.2.46-3ubuntu4
2013-02-13 22:26:45 status unpacked libpng12-0 1.2.46-3ubuntu4
2013-02-13 22:26:45 install libselinux1 <none> 2.1.0-4.1ubuntu1
2013-02-13 22:26:45 status half-installed libselinux1 2.1.0-4.1ubuntu1
2013-02-13 22:26:45 status unpacked libselinux1 2.1.0-4.1ubuntu1
2013-02-13 22:26:45 status unpacked libselinux1 2.1.0-4.1ubuntu1
2013-02-13 22:26:45 install libslang2 <none> 2.2.4-3ubuntu1
2013-02-13 22:26:45 status half-installed libslang2 2.2.4-3ubuntu1
2013-02-13 22:26:45 status unpacked libslang2 2.2.4-3ubuntu1
2013-02-13 22:26:45 status unpacked libslang2 2.2.4-3ubuntu1
2013-02-13 22:26:45 install libss2 <none> 1.42-1ubuntu2
2013-02-13 22:26:45 status half-installed libss2 1.42-1ubuntu2
2013-02-13 22:26:45 status unpacked libss2 1.42-1ubuntu2
2013-02-13 22:26:45 status unpacked libss2 1.42-1ubuntu2
2013-02-13 22:26:45 install libssl1.0.0 <none> 1.0.1-4ubuntu3
2013-02-13 22:26:45 status half-installed libssl1.0.0 1.0.1-4ubuntu3
2013-02-13 22:26:46 status unpacked libssl1.0.0 1.0.1-4ubuntu3
2013-02-13 22:26:46 status unpacked libssl1.0.0 1.0.1-4ubuntu3
2013-02-13 22:26:46 install libtinfo5 <none> 5.9-4
2013-02-13 22:26:46 status half-installed libtinfo5 5.9-4
2013-02-13 22:26:46 status unpacked libtinfo5 5.9-4
2013-02-13 22:26:46 status unpacked libtinfo5 5.9-4
2013-02-13 22:26:46 install libudev0 <none> 175-0ubuntu9
2013-02-13 22:26:46 status half-installed libudev0 175-0ubuntu9
2013-02-13 22:26:46 status unpacked libudev0 175-0ubuntu9
2013-02-13 22:26:46 status unpacked libudev0 175-0ubuntu9
2013-02-13 22:26:46 install libuuid1 <none> 2.20.1-1ubuntu3
2013-02-13 22:26:46 status half-installed libuuid1 2.20.1-1ubuntu3
2013-02-13 22:26:46 status unpacked libuuid1 2.20.1-1ubuntu3
2013-02-13 22:26:46 status unpacked libuuid1 2.20.1-1ubuntu3
2013-02-13 22:26:46 install locales <none> 2.13+git20120306-3
2013-02-13 22:26:46 status half-installed locales 2.13+git20120306-3
2013-02-13 22:26:47 status unpacked locales 2.13+git20120306-3
2013-02-13 22:26:47 status unpacked locales 2.13+git20120306-3
2013-02-13 22:26:47 install login <none> 1:4.1.4.2+svn3283-3ubuntu5
2013-02-13 22:26:47 status half-installed login 1:4.1.4.2+svn3283-3ubuntu5
2013-02-13 22:26:47 status unpacked login 1:4.1.4.2+svn3283-3ubuntu5
2013-02-13 22:26:48 status unpacked login 1:4.1.4.2+svn3283-3ubuntu5
2013-02-13 22:26:48 install lsb-base <none> 4.0-0ubuntu20
2013-02-13 22:26:48 status half-installed lsb-base 4.0-0ubuntu20
2013-02-13 22:26:48 status unpacked lsb-base 4.0-0ubuntu20
2013-02-13 22:26:48 status unpacked lsb-base 4.0-0ubuntu20
2013-02-13 22:26:48 install makedev <none> 2.3.1-89ubuntu2
2013-02-13 22:26:48 status half-installed makedev 2.3.1-89ubuntu2
2013-02-13 22:26:48 status unpacked makedev 2.3.1-89ubuntu2
2013-02-13 22:26:48 status unpacked makedev 2.3.1-89ubuntu2
2013-02-13 22:26:48 upgrade mawk 1.3.3-17 1.3.3-17
2013-02-13 22:26:48 status half-configured mawk 1.3.3-17
2013-02-13 22:26:48 status unpacked mawk 1.3.3-17
2013-02-13 22:26:48 status half-installed mawk 1.3.3-17
2013-02-13 22:26:48 status half-installed mawk 1.3.3-17
2013-02-13 22:26:48 status unpacked mawk 1.3.3-17
2013-02-13 22:26:48 status unpacked mawk 1.3.3-17
2013-02-13 22:26:48 install module-init-tools <none> 3.16-1ubuntu2
2013-02-13 22:26:48 status half-installed module-init-tools 3.16-1ubuntu2
2013-02-13 22:26:48 status unpacked module-init-tools 3.16-1ubuntu2
2013-02-13 22:26:48 status unpacked module-init-tools 3.16-1ubuntu2
2013-02-13 22:26:48 install mount <none> 2.20.1-1ubuntu3
2013-02-13 22:26:48 status half-installed mount 2.20.1-1ubuntu3
2013-02-13 22:26:48 status unpacked mount 2.20.1-1ubuntu3
2013-02-13 22:26:48 status unpacked mount 2.20.1-1ubuntu3
2013-02-13 22:26:48 install mountall <none> 2.36
2013-02-13 22:26:48 status half-installed mountall 2.36
2013-02-13 22:26:49 status unpacked mountall 2.36
2013-02-13 22:26:49 status unpacked mountall 2.36
2013-02-13 22:26:49 install multiarch-support <none> 2.15-0ubuntu10
2013-02-13 22:26:49 status half-installed multiarch-support 2.15-0ubuntu10
2013-02-13 22:26:49 status unpacked multiarch-support 2.15-0ubuntu10
2013-02-13 22:26:49 status unpacked multiarch-support 2.15-0ubuntu10
2013-02-13 22:26:49 install ncurses-base <none> 5.9-4
2013-02-13 22:26:49 status half-installed ncurses-base 5.9-4
2013-02-13 22:26:49 status unpacked ncurses-base 5.9-4
2013-02-13 22:26:49 status unpacked ncurses-base 5.9-4
2013-02-13 22:26:49 install ncurses-bin <none> 5.9-4
2013-02-13 22:26:49 status half-installed ncurses-bin 5.9-4
